start	end	text
0	2720	Вы каждый день видите результат работы этого человека и
2720	4580	даже не знаете, что он существует.
4720	6860	Это аналитик спроса в крупном ритейле.
7100	10100	Зарплата такого сотрудника от 500 тысяч рублей в месяц,
10180	13200	а от федеральной сети таких людей единицы на тысячи
13200	13800	магазинов.
14220	15420	Итак, чем он занимается?
15540	16880	Он отвечает на один вопрос.
17240	18900	Сколько чего привезти завтра?
19020	21120	Сколько молока купят в этом магазине в четверг,
21140	22180	если будет дождь?
22300	24840	Что произойдет со спросом на мороженое, когда конкурент
24840	26140	напротив запустит акцию?
26420	28820	Сколько заказать перед Новым годом, чтобы не остаться
28820	29720	с горой товара?
30120	32640	Ошибка в два процента – это миллиарды рублей замороженные
32640	35140	на складе или упущенные на пустой полке.
35540	37800	Именно поэтому за такими специалистами охотятся
37800	38700	все сети сразу.
39000	41320	За этим стоят временные ряды, статистика и теория
41320	42340	вероятностей.
42500	45200	А вырастают все это из школьных процентов функций графиков.
45540	49440	Ценная стройка труда создается не курсами в 20 лет, она закладывается
49440	50160	лет в 15.
50580	52960	Пишите слово «пробная» в комментариях и я проведу
52960	55320	для вашего ребенка первое занятие по математике.
