start	end	text
0	3020	Есть специалисты, за которых российские компании конкурируют
3020	4520	напрямую с Кремниевой долиной.
4960	8280	Это инженеры компьютерного зрения в беспилотном транспорте.
8420	11480	Зарплата таких специалистов от 1 млн рублей в месяц
11480	13740	и вакансии висят открытыми годами.
13780	17460	Приходят 100 резюме, а 95 отсеиваются на первом же техническом
17460	18300	собеседовании.
18500	19940	И вот чем они занимаются.
20280	21600	Они учат машину видеть.
21660	23260	Это пешеход или тени столба?
23300	25700	На каком расстоянии объект, если камера плоская, а
25700	26120	мир нет?
26460	29040	Что делать, если камера осыплена солнцем, а решение
29040	31220	нужно принять за сотую доли секунды?
31400	34000	Ошибка здесь стоит человеческой жизни, поэтому берут только
34000	37260	тех, кто понимает математику внутри алгоритма, а не умеют
37260	38860	вызывать готовую библиотеку.
39100	42320	За этим стоят линии на алгебре, геометрии, теорию вероятностей.
42600	45540	И весь этот аппарат вырастает из школьной геометрии, векторов,
45600	46820	координат и проекций.
47120	49660	Программу можно выучить за месяц, а умение думать
49660	51860	— это годы, и закладывается оно в детстве.
52340	54600	Пишите слово «пробное» в комментариях, и я проведу
54600	56940	для вашего ребенка первое занятие по математике.
