start	end	text
0	2660	Есть специальность выпускников, которые в России готовят
2660	5640	всего несколько кафедр по всей стране, и на каждого
5640	8100	выпускника уже стоит очередь изработодателей.
8560	11240	Эти люди — это криптографы, которые математически
11240	14280	защищают деньги, переписку и государственные данные.
14400	17460	Зарплата от 700 тысяч рублей в месяц — это не потолок,
17580	18900	и вот чем они занимаются.
19320	21700	Они строят замок, который невозможно вскрыть.
21860	24440	Сколько лет суперкомпьютеры понадобится, чтобы подобрать
24440	27220	ключ, если в схеме дара, которую никто не заметил,
27460	29900	что будет с этим шифром, когда появится квантовый
29900	30480	компьютер.
30840	33500	Каждый ваш платеж, каждое сообщение в мессенджере
33500	35800	проходит через алгоритм, который придумали такие
35800	36140	люди.
36540	39380	И это одна из немногих областей, где Россия исторически
39380	40720	в числе мировых лидеров.
41100	44120	И вот что самое интересное — в основе всего этого лежат
44120	46960	простые числа и остатки отделения — темы шестого
46960	49720	класса, которые ребенок обычно считает бесполезными.
49980	52980	Отбор сюда идет не по диплому, а по тому, насколько крепко
52980	56240	у человека стоит математика седьмого или восьмого класса.
56300	59020	Пишите слово в пробных комментариях, и я проведу для вашего
59020	60840	ребенка первое занятие по математике.
