start	end	text
0	3180	Это самая закрытая профессия в финансах, и это не бангиры
3180	4860	и не трейдеры, которых вы видели в кино.
5220	8000	Это Кван, человек, который зарабатывает деньги математической
8000	8540	моделью.
8980	11600	Его доход начинается от 2 млн рублей в месяц и
11600	14180	не имеет верхней границы, потому что он получает
14180	16380	процента того, что заработала его формула.
16600	19520	По всей России таких специалистов несколько десятков.
19720	21000	И вот чем он занимается.
21320	23780	Он ищет закономерность, которая не видит рынок.
23900	25940	Насколько два актива связаны между собой?
26280	28740	Что произойдет с портфелем, если завтра случится то,
28740	31860	чего не было за 100 лет, где сигналы, где просто шум.
32220	34420	Модель либо работает и приносит миллиарды, либо
34420	36500	ошибается и деньги исчезают за минуты.
36880	40240	За этим стоит теория вероятностей, статистика и стахистические
40240	41020	процессы.
41160	43500	А вырастает весь этот аппарат из школьной алгебры.
43860	46400	Дорога в такие профессии одна – сильная математическая
46400	48440	база, которая заложена еще в школе.
48580	51560	В Узию догнать уже очень тяжело, там на ней строят,
51640	52400	а не закладывают.
52860	55140	Пишите слово «пробная» в комментариях и я проведу
55140	57380	для вашего ребенка первое занятие по математике.
