start	end	text
0	3480	Есть инженеры, которые проектируют самолет, ни разу его не построив.
3660	6860	Это расчетчики течений, так называемые CFD-инженеры.
7160	12940	Зарплата 600 тысяч рублей в месяц и в стране всего несколько тысяч на всю авиацию, космос и энергетику.
13280	14800	И вот чем они занимаются.
15060	19740	Они считают воздух и воду, как поток обтекает крыло на скорости 900 километров в час,
20080	22800	где возникнет вихрь, который сорвет подъемную силу,
22940	26760	сколько топлива сажет двигатель, если изменить форму лопатки на 2 миллиметра.
26760	30100	Раньше для этого строили модели, продували ее в трубе.
30160	32300	Месяцы работки и десятки миллионов рублей.
32820	35720	Сейчас это считают на компьютере за ночь, но только если есть человек,
35920	38800	который умеет поставить задачу и понять, врет расчет или нет.
39240	42280	За этим стоят уравнения в частных производных и численные методы.
42740	46180	И весь этот аппарат вырастают из школьной алгебры, геометрии, физики.
46580	48680	В этой провессии нельзя оказаться случайно.
48740	52680	Все решают базы, которую ребенок либо получил в школе, либо не получил.
52680	54720	Пишите слово «пробно» в комментариях,
54820	57660	и я проведу для вашего ребенка первое занятие по математике.
